rank,index_code,name,type_label,hit_count,sector_size,coverage_pct,turnover_yi,turnover_share_pct,baseline_hit_count,hit_change,today_pct,recent_pct,amplitude,related_sectors,hit_stocks,representatives
28,884092.TI,印制电路板,行业,6,46,13.04,671.07,7.76,7.75,-1.75,-8.68,-15.87,30.93,元件、电子元件(A股),东山精密、生益科技、胜宏科技、沪电股份、深南电路、景旺电子,东山精密(-8.01%)、生益科技(-8.26%)、胜宏科技(-17.91%)、沪电股份(-7.73%)、深南电路(-17.59%)
29,885908.TI,第三代半导体,概念,13,180,7.22,1009.89,11.67,14.5,-1.5,-6.43,-20.41,31.02,,长电科技、通富微电、北方华创、长飞光纤、华天科技、华工科技、长光华芯、深科技、大族激光、江丰电子、华海清科、麦格米特、多氟多,长电科技(-22.27%)、通富微电(-14.37%)、北方华创(-11.43%)、长飞光纤(0.03%)、华天科技(-30.17%)
30,885312.TI,物联网,概念,19,467,4.07,2018.53,23.33,19.75,-0.75,-2.65,-7.78,12.51,,兆易创新、紫光股份、长电科技、京东方A、通富微电、中芯国际、中兴通讯、胜宏科技、工业富联、协创数据、华工科技、北京君正、瑞芯微、芯原股份、星网锐捷、深科技、大族激光、信维通信、美的集团,兆易创新(-21.51%)、紫光股份(-1.85%)、长电科技(-22.27%)、京东方A(-15.23%)、通富微电(-14.37%)
31,885738.TI,OLED,概念,12,156,7.69,844.44,9.76,13.0,-1.0,-6.14,-18.15,27.78,,京东方A、中芯国际、北方华创、北京君正、大族激光、江丰电子、景旺电子、蓝思科技、豪威集团、利通电子、TCL科技、精智达,京东方A(-15.23%)、中芯国际(-11.97%)、北方华创(-11.43%)、北京君正(-24.46%)、大族激光(-21.79%)
32,885875.TI,MiniLED,概念,9,108,8.33,927.23,10.72,9.75,-0.75,-6.38,-16.9,26.61,,东山精密、京东方A、中微公司、生益科技、华工科技、北京君正、大族激光、TCL科技、德福科技,东山精密(-8.01%)、京东方A(-15.23%)、中微公司(-16.18%)、生益科技(-8.26%)、华工科技(-31.37%)
33,885730.TI,量子科技,概念,9,113,7.96,820.4,9.48,8.25,0.75,-2.04,-8.66,13.17,,亨通光电、海光信息、中兴通讯、中天科技、中科曙光、长飞光纤、光迅科技、华工科技、罗博特科,亨通光电(-19.21%)、海光信息(-7.21%)、中兴通讯(-15.76%)、中天科技(-22.02%)、中科曙光(-14.22%)
34,886037.TI,6G概念,概念,8,96,8.33,785.82,9.08,9.0,-1.0,-4.48,-16.54,21.65,,紫光股份、亨通光电、中兴通讯、中天科技、光迅科技、华工科技、信维通信、景旺电子,紫光股份(-1.85%)、亨通光电(-19.21%)、中兴通讯(-15.76%)、中天科技(-22.02%)、光迅科技(-21.06%)
35,885517.TI,机器人概念,概念,29,1212,2.39,2531.69,29.26,30.25,-1.25,-3.38,-8.69,13.98,,东山精密、紫光股份、长电科技、京东方A、亨通光电、佰维存储、中兴通讯、胜宏科技、中天科技、长飞光纤、工业富联、立讯精密、华天科技、江波龙、协创数据、华工科技、北京君正、瑞芯微、星网锐捷、深科技、大族激光、信维通信、绿的谐波、蓝思科技、美的集团、三花智控、麦格米特、比亚迪、精智达,东山精密(-8.01%)、紫光股份(-1.85%)、长电科技(-22.27%)、京东方A(-15.23%)、亨通光电(-19.21%)
36,886035.TI,毫米波雷达,概念,9,127,7.09,841.44,9.73,9.0,0.0,-4.2,-10.99,16.73,,长电科技、通富微电、生益科技、沪电股份、立讯精密、华天科技、北京君正、信维通信、景旺电子,长电科技(-22.27%)、通富微电(-14.37%)、生益科技(-8.26%)、沪电股份(-7.73%)、立讯精密(-3.70%)
37,885431.TI,新能源汽车,概念,26,1051,2.47,2135.37,24.68,25.75,0.25,-4.16,-10.0,15.86,,东山精密、宁德时代、京东方A、亨通光电、生益科技、中兴通讯、胜宏科技、中天科技、长飞光纤、工业富联、立讯精密、华工科技、阳光电源、深科技、大族激光、国瓷材料、永鼎股份、深南电路、景旺电子、蓝思科技、三花智控、麦格米特、比亚迪、德福科技、罗博特科、多氟多,东山精密(-8.01%)、宁德时代(4.84%)、京东方A(-15.23%)、亨通光电(-19.21%)、生益科技(-8.26%)
38,885736.TI,无人驾驶,概念,15,408,3.68,1635.84,18.91,15.75,-0.75,-2.97,-8.81,13.72,,中际旭创、长电科技、浪潮信息、亨通光电、天孚通信、沪电股份、立讯精密、华天科技、北京君正、长光华芯、芯原股份、景旺电子、豪威集团、比亚迪、昆仑万维,中际旭创(-9.39%)、长电科技(-22.27%)、浪潮信息(-4.91%)、亨通光电(-19.21%)、天孚通信(-17.65%)
39,885925.TI,MCU芯片,概念,7,95,7.37,658.13,7.61,7.25,-0.25,-4.59,-17.82,25.98,,兆易创新、北京君正、瑞芯微、芯原股份、普冉股份、美的集团、豪威集团,兆易创新(-21.51%)、北京君正(-24.46%)、瑞芯微(-5.02%)、芯原股份(-17.14%)、普冉股份(-33.67%)
40,885771.TI,智能音箱,概念,6,59,10.17,399.81,4.62,5.75,0.25,-3.27,-9.17,16.32,,立讯精密、协创数据、北京君正、瑞芯微、芯原股份、信维通信,立讯精密(-3.70%)、协创数据(-16.30%)、北京君正(-24.46%)、瑞芯微(-5.02%)、芯原股份(-17.14%)
